mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex,speaker_5_ID,speaker_5_sex,speaker_6_ID,speaker_6_sex,speaker_7_ID,speaker_7_sex,speaker_8_ID,speaker_8_sex,speaker_9_ID,speaker_9_sex,speaker_10_ID,speaker_10_sex
8747-293952-0090_669-129061-0080_6081-41998-0020_2002-139469-0056_5163-18515-0000_6563-285357-0005_4813-248638-0012_4680-16026-0023_1455-138263-0041_8312-279790-0026,8747,M,669,F,6081,M,2002,M,5163,F,6563,M,4813,M,4680,F,1455,M,8312,F
4051-10927-0019_3242-67153-0030_5678-43302-0021_2989-138035-0000_3168-173565-0029_8324-286683-0001_8580-287363-0025_19-227-0049_8468-294887-0003_2289-152258-0011,4051,F,3242,M,5678,M,2989,F,3168,M,8324,F,8580,M,19,F,8468,F,2289,M
4640-19187-0006_5678-43301-0019_1502-122619-0001_458-126290-0017_8580-287364-0041_730-360-0018_8063-274115-0014_3486-166446-0019_1363-139304-0009_1263-141777-0037,4640,F,5678,M,1502,F,458,M,8580,M,730,F,8063,M,3486,M,1363,F,1263,F
3374-298032-0006_8088-284756-0086_2182-181173-0007_4830-25904-0016_8051-118101-0014_3723-171631-0046_6367-65536-0039_1624-142933-0003_78-369-0005_3242-8112-0028,3374,M,8088,M,2182,F,4830,M,8051,F,3723,M,6367,M,1624,M,78,M,3242,M
2159-179157-0027_1040-133433-0008_3214-167602-0033_40-121026-0007_3259-158083-0031_78-369-0052_3947-13260-0008_5808-54425-0055_6078-54013-0047_5339-14134-0014,2159,M,1040,M,3214,M,40,F,3259,F,78,M,3947,F,5808,M,6078,F,5339,F
4214-7146-0076_2836-5355-0037_3982-182255-0019_125-121124-0001_4051-10927-0024_5456-24741-0017_26-495-0016_7178-34644-0052_2910-131096-0011_5750-100289-0055,4214,F,2836,F,3982,F,125,F,4051,F,5456,M,26,M,7178,F,2910,F,5750,M
3857-182315-0026_6454-120342-0007_8123-275216-0017_4853-27670-0033_1963-142776-0006_4051-11217-0024_125-121342-0021_730-358-0013_2911-12359-0022_2989-138028-0019,3857,M,6454,M,8123,F,4853,F,1963,F,4051,F,125,F,730,F,2911,M,2989,F
2989-138028-0013_4406-16883-0036_78-369-0038_5192-19397-0051_5163-18515-0026_4397-15666-0024_831-130739-0047_4267-78186-0014_911-128684-0065_2391-145015-0039,2989,F,4406,M,78,M,5192,M,5163,F,4397,M,831,M,4267,M,911,M,2391,F
4014-186179-0035_8088-284756-0016_8095-274345-0018_4214-7146-0023_1263-139804-0004_229-130880-0047_8975-270782-0087_8465-246940-0006_2002-139469-0038_3879-173592-0017,4014,M,8088,M,8095,M,4214,F,1263,F,229,M,8975,F,8465,F,2002,M,3879,F
198-129977-0018_1334-135589-0052_1355-39947-0014_625-132112-0020_8098-275181-0025_302-123516-0021_6385-220959-0001_78-368-0040_289-121652-0019_4481-17498-0019,198,F,1334,M,1355,M,625,M,8098,M,302,F,6385,F,78,M,289,F,4481,F
6019-3185-0029_6147-34607-0036_7078-271888-0106_26-495-0014_3664-178366-0006_1502-122619-0054_7402-59171-0008_2764-36616-0028_4340-15220-0047_4195-17507-0007,6019,M,6147,F,7078,F,26,M,3664,M,1502,F,7402,M,2764,F,4340,F,4195,F
1455-134435-0019_374-180298-0042_32-4137-0018_7511-102419-0037_2952-410-0043_5192-19396-0018_2911-7601-0026_1992-141719-0033_8747-293952-0085_4813-248638-0053,1455,M,374,M,32,F,7511,F,2952,M,5192,M,2911,M,1992,F,8747,M,4813,M
39-121916-0006_2182-181173-0034_3857-180923-0026_6925-80680-0062_289-121665-0021_412-126975-0053_1040-133433-0074_5688-41232-0017_1743-142914-0028_7226-86965-0036,39,F,2182,F,3857,M,6925,M,289,F,412,M,1040,M,5688,F,1743,M,7226,M
32-21631-0000_198-129977-0022_5393-19218-0043_1502-122615-0028_1970-10594-0026_405-130894-0002_1183-133255-0009_374-180299-0043_298-126791-0016_3235-28452-0016,32,F,198,F,5393,F,1502,F,1970,F,405,M,1183,F,374,M,298,F,3235,F
6209-34601-0034_6019-3185-0018_289-121652-0012_5393-19219-0052_1898-145724-0029_7059-77897-0008_1963-142776-0003_3723-171115-0028_7078-271888-0053_6818-76332-0004,6209,M,6019,M,289,F,5393,F,1898,F,7059,F,1963,F,3723,M,7078,F,6818,F
8747-293952-0039_6081-41998-0032_7059-88364-0034_8051-119902-0003_5322-7678-0028_4481-17499-0047_3664-11714-0008_6385-34655-0006_2384-152900-0073_118-47824-0053,8747,M,6081,M,7059,F,8051,F,5322,M,4481,F,3664,M,6385,F,2384,M,118,M
8580-287364-0031_2289-152253-0017_3664-178366-0031_89-218-0043_696-93314-0041_7511-102419-0051_1926-147979-0046_2952-410-0001_4267-78186-0009_39-121914-0020,8580,M,2289,M,3664,M,89,F,696,F,7511,F,1926,F,2952,M,4267,M,39,F
8747-293952-0010_5789-57195-0009_6925-80680-0020_32-4137-0040_5339-14134-0013_4137-11701-0021_3242-67153-0016_2836-5355-0015_2518-154826-0043_5750-100289-0002,8747,M,5789,F,6925,M,32,F,5339,F,4137,F,3242,M,2836,F,2518,M,5750,M
445-123857-0024_1098-133695-0064_3374-298032-0019_8630-305213-0021_3830-12535-0028_1737-142397-0003_1069-133699-0011_5339-14134-0050_6454-120342-0001_5750-100289-0033,445,M,1098,F,3374,M,8630,M,3830,M,1737,F,1069,F,5339,F,6454,M,5750,M
4051-10927-0016_1743-142914-0004_201-122255-0032_60-121082-0091_8609-283227-0068_3440-171009-0018_4340-15220-0052_6147-34605-0006_2989-138035-0025_5456-24741-0009,4051,F,1743,M,201,M,60,M,8609,M,3440,F,4340,F,6147,F,2989,F,5456,M
1355-39947-0073_1263-139804-0015_8098-278278-0002_441-128988-0004_2836-5354-0042_125-121342-0048_3983-5331-0053_3664-178366-0021_6415-100596-0005_4640-19187-0009,1355,M,1263,F,8098,M,441,F,2836,F,125,F,3983,F,3664,M,6415,F,4640,F
839-130898-0091_78-368-0008_200-124139-0010_83-3054-0005_6000-55211-0045_2952-407-0019_6181-216552-0047_5192-19397-0048_198-126831-0049_4297-13009-0026,839,M,78,M,200,F,83,F,6000,F,2952,M,6181,M,5192,M,198,F,4297,F
426-122819-0027_4088-158079-0009_2952-410-0057_5456-58161-0000_6415-111615-0018_3699-19402-0030_3168-173565-0005_4137-11702-0005_1088-129236-0030_8312-279790-0028,426,F,4088,F,2952,M,5456,M,6415,F,3699,M,3168,M,4137,F,1088,F,8312,F
4830-25898-0008_3240-131231-0052_103-1240-0025_4088-158077-0070_4788-91208-0022_125-121124-0028_1246-124548-0028_8063-274117-0006_4441-76250-0023_7113-86041-0055,4830,M,3240,M,103,F,4088,F,4788,M,125,F,1246,F,8063,M,4441,M,7113,F
7067-76047-0021_4441-76263-0031_412-126975-0030_150-126112-0017_1743-142914-0017_1034-121119-0067_8324-286681-0023_87-121553-0038_1970-28415-0008_6385-220959-0027,7067,M,4441,M,412,M,150,F,1743,M,1034,M,8324,F,87,F,1970,F,6385,F
2836-5355-0000_6836-61804-0027_6000-86686-0023_8123-275209-0003_6818-76332-0007_1334-135589-0054_1970-26100-0026_2691-156750-0033_5703-47198-0053_8465-246940-0017,2836,F,6836,M,6000,F,8123,F,6818,F,1334,M,1970,F,2691,F,5703,M,8465,F
8975-270782-0095_6848-252322-0019_5390-24512-0026_8051-295385-0012_4088-158077-0004_8770-295462-0016_5104-33407-0013_1867-154075-0027_481-123720-0027_103-1240-0057,8975,F,6848,M,5390,M,8051,F,4088,F,8770,M,5104,M,1867,M,481,M,103,F
8108-280359-0012_5163-18515-0019_3947-13262-0043_6848-252322-0002_5390-30096-0015_426-122821-0017_2196-170379-0001_5104-33406-0016_2416-152137-0034_6000-55211-0008,8108,M,5163,F,3947,F,6848,M,5390,M,426,F,2196,F,5104,M,2416,F,6000,F
5463-39173-0024_911-130578-0012_3486-166424-0017_4830-25904-0036_60-121082-0022_6000-55211-0007_7517-100429-0024_1898-145715-0012_5192-19397-0030_302-123516-0027,5463,M,911,M,3486,M,4830,M,60,M,6000,F,7517,F,1898,F,5192,M,302,F
19-198-0006_1081-125237-0081_5688-41232-0054_5867-48852-0082_3214-167602-0027_6000-55211-0011_4640-19187-0028_4014-186179-0043_5808-54425-0024_1235-135884-0041,19,F,1081,M,5688,F,5867,F,3214,M,6000,F,4640,F,4014,M,5808,M,1235,M
3486-166424-0031_460-172357-0018_7278-246956-0034_1578-140049-0025_7302-86815-0059_5678-43302-0002_4640-19189-0015_3982-178459-0024_669-129074-0029_8226-274371-0042,3486,M,460,M,7278,M,1578,F,7302,F,5678,M,4640,F,3982,F,669,F,8226,M
311-124404-0084_6836-61803-0015_3112-9555-0062_7302-86814-0048_7067-76047-0039_7278-246956-0011_1594-135914-0088_211-122425-0069_302-123516-0014_7635-105661-0010,311,M,6836,M,3112,F,7302,F,7067,M,7278,M,1594,M,211,F,302,F,7635,F
1624-168623-0020_839-130898-0062_1553-140048-0005_8747-293952-0068_412-126975-0048_1963-142393-0029_198-209-0023_307-127539-0032_3723-171631-0009_7067-76048-0041,1624,M,839,M,1553,F,8747,M,412,M,1963,F,198,F,307,M,3723,M,7067,M
4362-15663-0065_8747-293952-0074_5390-30102-0010_374-180298-0055_5322-7679-0036_7367-86737-0014_1578-6379-0040_1723-141149-0110_3235-28433-0000_8425-291444-0010,4362,F,8747,M,5390,M,374,M,5322,M,7367,M,1578,F,1723,M,3235,F,8425,M
5339-14134-0056_839-130898-0040_1447-130551-0001_150-132655-0005_3607-135982-0006_6367-74004-0028_8312-279790-0020_1081-125237-0001_4898-20016-0007_4014-186175-0014,5339,F,839,M,1447,F,150,F,3607,M,6367,M,8312,F,1081,M,4898,M,4014,M
7447-91186-0001_7078-271888-0090_3259-158083-0114_3374-298026-0026_1970-10594-0007_163-122947-0029_669-129061-0050_909-131045-0023_7800-283492-0031_1624-142933-0030,7447,M,7078,F,3259,F,3374,M,1970,F,163,M,669,F,909,M,7800,F,1624,M
89-218-0010_2691-156755-0014_2182-181183-0023_2836-5354-0025_445-123860-0024_226-131532-0008_26-496-0009_4018-107338-0025_4088-158077-0071_2910-131096-0053,89,F,2691,F,2182,F,2836,F,445,M,226,F,26,M,4018,M,4088,F,2910,F
8468-294887-0029_7302-86814-0035_3983-5331-0025_8465-246943-0007_5049-25947-0076_4014-186175-0002_7635-105661-0015_460-172359-0039_1578-6379-0014_4160-11549-0022,8468,F,7302,F,3983,F,8465,F,5049,M,4014,M,7635,F,460,M,1578,F,4160,F
4195-17507-0005_89-218-0048_163-122947-0001_6064-56165-0021_8629-261139-0029_4014-186176-0021_7178-34644-0012_8324-286682-0021_1841-159771-0028_1578-6379-0032,4195,F,89,F,163,M,6064,F,8629,M,4014,M,7178,F,8324,F,1841,F,1578,F
6272-70168-0005_4362-15663-0089_481-123720-0039_8419-293473-0018_4088-158077-0048_4051-11217-0022_3440-171009-0063_5750-100289-0036_4406-16883-0014_4859-29340-0018,6272,F,4362,F,481,M,8419,M,4088,F,4051,F,3440,F,5750,M,4406,M,4859,M
211-122425-0026_8465-246942-0008_3607-135982-0011_2289-152254-0023_103-1241-0038_226-131532-0001_4137-11701-0016_7402-59171-0033_2159-179154-0023_26-496-0020,211,F,8465,F,3607,M,2289,M,103,F,226,F,4137,F,7402,M,2159,M,26,M
5808-54425-0012_1235-135887-0023_328-129766-0019_1098-133695-0034_39-121914-0016_7078-271888-0056_233-134440-0058_2436-2481-0035_426-122819-0000_2136-5140-0015,5808,M,1235,M,328,F,1098,F,39,F,7078,F,233,M,2436,M,426,F,2136,M
3983-5331-0016_587-41611-0006_6209-34600-0014_4051-10927-0014_7190-90543-0034_8312-279791-0049_3168-173564-0004_311-124404-0021_332-128985-0074_458-126305-0019,3983,F,587,F,6209,M,4051,F,7190,M,8312,F,3168,M,311,M,332,M,458,M
887-123290-0028_5393-19218-0002_374-180298-0031_1926-147979-0022_730-358-0030_229-130880-0026_5339-14133-0029_6437-66173-0045_4406-16883-0044_40-222-0001,887,F,5393,F,374,M,1926,F,730,F,229,M,5339,F,6437,M,4406,M,40,F
322-124147-0053_1246-124550-0036_8324-286683-0036_2911-7601-0028_1034-121119-0014_1723-141149-0009_5163-18515-0015_6064-56168-0031_4481-17498-0030_2384-152900-0028,322,F,1246,F,8324,F,2911,M,1034,M,1723,M,5163,F,6064,F,4481,F,2384,M
911-128684-0045_1737-148989-0011_403-128339-0051_8580-287364-0043_8051-119902-0019_1334-135589-0012_2893-139310-0014_412-126975-0064_4267-72637-0026_8770-295462-0009,911,M,1737,F,403,F,8580,M,8051,F,1334,M,2893,M,412,M,4267,M,8770,M
2764-36619-0026_8226-274371-0005_4014-186179-0026_587-41611-0022_2002-139469-0079_8580-287363-0006_1069-133699-0019_3857-180923-0020_8770-295463-0022_118-121721-0002,2764,F,8226,M,4014,M,587,F,2002,M,8580,M,1069,F,3857,M,8770,M,118,M
1898-145715-0006_26-495-0023_2836-5355-0039_5750-100289-0038_1235-135883-0013_3879-174923-0051_4680-16042-0020_1263-141777-0014_311-124404-0074_5561-39621-0011,1898,F,26,M,2836,F,5750,M,1235,M,3879,F,4680,F,1263,F,311,M,5561,F
322-124147-0056_4813-248638-0014_5463-39173-0004_4853-27671-0002_1963-142393-0020_3607-135982-0014_2843-152918-0106_3112-9554-0001_118-47824-0027_1081-125237-0064,322,F,4813,M,5463,M,4853,F,1963,F,3607,M,2843,M,3112,F,118,M,1081,M
1553-140048-0036_1578-140045-0000_19-227-0043_5022-29411-0067_8465-246940-0030_3112-9555-0013_1594-135914-0004_5322-7678-0029_2182-181183-0022_6019-3185-0053,1553,F,1578,F,19,F,5022,F,8465,F,3112,F,1594,M,5322,M,2182,F,6019,M
6476-57446-0009_60-121082-0049_83-9960-0018_8425-246962-0019_5339-14134-0062_8226-274371-0032_8095-274346-0012_6081-41997-0001_1594-135914-0038_3112-9555-0055,6476,F,60,M,83,F,8425,M,5339,F,8226,M,8095,M,6081,M,1594,M,3112,F
445-123857-0029_441-130108-0019_8095-274346-0013_2196-170379-0008_1235-135884-0019_6181-216552-0095_426-122821-0027_2764-36617-0031_8975-270782-0081_118-47824-0048,445,M,441,F,8095,M,2196,F,1235,M,6181,M,426,F,2764,F,8975,F,118,M
8419-293473-0013_4051-11218-0010_6437-66173-0039_5339-14133-0034_481-123720-0066_3723-171631-0018_6081-41997-0011_403-128339-0025_374-180298-0004_5192-19397-0062,8419,M,4051,F,6437,M,5339,F,481,M,3723,M,6081,M,403,F,374,M,5192,M
3240-131231-0044_1263-139804-0027_2836-5355-0028_307-127540-0019_374-180299-0000_4406-16882-0040_909-131041-0007_1926-143879-0006_458-126305-0011_8770-295462-0010,3240,M,1263,F,2836,F,307,M,374,M,4406,M,909,M,1926,F,458,M,8770,M
2952-410-0054_5104-33406-0044_8580-287364-0000_7302-86814-0023_2092-145706-0036_4481-17498-0035_6848-252322-0026_7190-90542-0053_1447-130551-0005_1235-135883-0024,2952,M,5104,M,8580,M,7302,F,2092,F,4481,F,6848,M,7190,M,1447,F,1235,M
1992-141719-0006_2836-5354-0001_2952-410-0010_4195-186238-0018_1898-145724-0034_200-124139-0026_8226-274369-0063_2002-139469-0085_211-122425-0056_696-92939-0016,1992,F,2836,F,2952,M,4195,F,1898,F,200,F,8226,M,2002,M,211,F,696,F
196-122152-0020_6385-220959-0015_4481-17498-0046_426-122819-0020_1594-135914-0095_8238-274553-0028_1246-135815-0024_2002-139469-0014_3240-131232-0020_1069-133709-0020,196,M,6385,F,4481,F,426,F,1594,M,8238,F,1246,F,2002,M,3240,M,1069,F
911-130578-0008_587-41619-0006_4088-158077-0016_311-124404-0029_7264-92314-0021_322-124147-0052_4051-11218-0058_6019-3185-0047_8580-287363-0022_1088-129236-0009,911,M,587,F,4088,F,311,M,7264,M,322,F,4051,F,6019,M,8580,M,1088,F
26-495-0087_4680-16026-0008_8238-283452-0006_403-216-0008_8797-294123-0046_481-123720-0061_2843-152918-0026_3857-182317-0015_302-123516-0005_4898-28461-0010,26,M,4680,F,8238,F,403,F,8797,M,481,M,2843,M,3857,M,302,F,4898,M
248-130652-0026_4859-22176-0012_1334-135589-0058_8747-293952-0040_118-47824-0038_1116-137572-0026_8063-274115-0028_7800-283478-0011_911-128684-0078_8095-274345-0021,248,F,4859,M,1334,M,8747,M,118,M,1116,F,8063,M,7800,F,911,M,8095,M
887-123289-0021_1963-142393-0021_233-155990-0003_8088-284756-0021_2911-15045-0015_1553-140047-0027_4406-16883-0038_8014-112586-0009_4362-15663-0041_2007-149877-0037,887,F,1963,F,233,M,8088,M,2911,M,1553,F,4406,M,8014,F,4362,F,2007,F
5678-43301-0018_8468-286673-0021_8609-283227-0051_3214-167602-0009_3242-8112-0014_5867-48852-0107_5703-47212-0039_201-127786-0040_39-121916-0003_250-142276-0059,5678,M,8468,F,8609,M,3214,M,3242,M,5867,F,5703,M,201,M,39,F,250,F
302-123523-0014_1069-133699-0050_298-126791-0032_89-219-0059_4267-72637-0025_3240-131231-0020_2289-152258-0039_8095-274346-0056_2518-154826-0053_4441-76263-0008,302,F,1069,F,298,F,89,F,4267,M,3240,M,2289,M,8095,M,2518,M,4441,M
441-128988-0009_4853-27670-0007_5163-18515-0017_1553-140047-0025_7505-258964-0024_5808-48608-0039_3235-28433-0025_2952-408-0012_6437-66172-0015_8098-278252-0021,441,F,4853,F,5163,F,1553,F,7505,M,5808,M,3235,F,2952,M,6437,M,8098,M
248-130652-0020_2182-181173-0000_7190-90542-0075_7113-86041-0097_5652-19215-0043_7367-86737-0097_8098-278278-0021_4859-29340-0019_19-198-0030_1898-145724-0032,248,F,2182,F,7190,M,7113,F,5652,F,7367,M,8098,M,4859,M,19,F,1898,F
587-41619-0021_7800-283492-0028_2952-408-0021_4267-78186-0019_198-129977-0029_2514-149482-0103_6415-111615-0022_4898-20016-0017_5678-43302-0028_3699-19401-0006,587,F,7800,F,2952,M,4267,M,198,F,2514,M,6415,F,4898,M,5678,M,3699,M
7800-283478-0031_7078-271888-0032_696-92939-0039_8425-292520-0006_2391-145015-0073_4088-158077-0019_426-122821-0029_2518-154825-0021_7264-92314-0012_2911-15045-0013,7800,F,7078,F,696,F,8425,M,2391,F,4088,F,426,F,2518,M,7264,M,2911,M
2691-156750-0019_6081-41997-0013_7302-86815-0072_4014-186179-0038_5778-12761-0013_8088-284756-0117_1743-142912-0025_2007-132570-0030_8629-261139-0016_4406-16882-0054,2691,F,6081,M,7302,F,4014,M,5778,F,8088,M,1743,M,2007,F,8629,M,4406,M
302-123523-0011_5456-62043-0027_4051-11218-0024_4088-158077-0018_7078-271888-0034_2893-139310-0053_426-122819-0031_4018-107312-0012_5561-39621-0035_6147-34607-0001,302,F,5456,M,4051,F,4088,F,7078,F,2893,M,426,F,4018,M,5561,F,6147,F
6000-86686-0007_4088-158077-0072_1263-138246-0027_5561-39621-0043_2952-407-0015_4267-72637-0018_4406-16882-0051_6415-116629-0015_6147-34605-0013_7402-90848-0009,6000,F,4088,F,1263,F,5561,F,2952,M,4267,M,4406,M,6415,F,6147,F,7402,M
5463-39174-0031_6415-116629-0026_289-121665-0001_8014-112602-0003_1263-139804-0021_1034-121119-0073_4830-25898-0007_39-121915-0010_5678-43302-0030_8629-261140-0049,5463,M,6415,F,289,F,8014,F,1263,F,1034,M,4830,M,39,F,5678,M,8629,M
3857-180923-0009_1970-10594-0016_4137-11702-0032_8063-274112-0005_2518-154826-0034_1334-135589-0086_8975-270782-0021_201-122255-0005_839-130898-0043_7402-90848-0050,3857,M,1970,F,4137,F,8063,M,2518,M,1334,M,8975,F,201,M,839,M,7402,M
1624-168623-0012_1867-148436-0039_3699-47246-0010_1992-141719-0020_3374-298032-0014_7794-295955-0023_6078-54007-0043_2436-2477-0027_6385-34655-0028_5867-48852-0056,1624,M,1867,M,3699,M,1992,F,3374,M,7794,F,6078,F,2436,M,6385,F,5867,F
8419-293473-0005_254-127705-0036_332-128985-0030_8226-274369-0062_7859-102519-0022_5322-7680-0024_6147-34605-0022_4051-11217-0039_196-122159-0016_1246-124548-0004,8419,M,254,M,332,M,8226,M,7859,F,5322,M,6147,F,4051,F,196,M,1246,F
2436-2477-0010_4267-287369-0032_441-130108-0010_4481-17499-0033_6385-220959-0018_6147-34607-0017_8238-283452-0045_5104-33406-0022_7859-102519-0008_1578-140049-0014,2436,M,4267,M,441,F,4481,F,6385,F,6147,F,8238,F,5104,M,7859,F,1578,F
