mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex,speaker_5_ID,speaker_5_sex
839-130898-0091_4859-29340-0031_3440-171006-0027_26-496-0012_1447-130552-0013,839,M,4859,M,3440,F,26,M,1447,F
7148-59157-0016_1183-124566-0002_7278-246956-0020_8123-275216-0043_1502-122615-0002,7148,F,1183,F,7278,M,8123,F,1502,F
909-131044-0031_2518-154825-0020_4853-27670-0029_2196-170151-0019_7635-105409-0018,909,M,2518,M,4853,F,2196,F,7635,F
2002-139469-0032_2836-5355-0053_2691-156745-0034_4297-13006-0026_6078-54007-0029,2002,M,2836,F,2691,F,4297,F,6078,F
2092-145706-0025_163-122947-0064_7511-102419-0013_302-123504-0014_3242-67153-0029,2092,F,163,M,7511,F,302,F,3242,M
3235-11599-0015_3259-158083-0116_7059-77900-0002_4813-248638-0049_1447-130550-0027,3235,F,3259,F,7059,F,4813,M,1447,F
4441-76262-0029_4195-186237-0021_2436-2477-0009_4297-13009-0020_5049-25947-0025,4441,M,4195,F,2436,M,4297,F,5049,M
32-21631-0019_831-130739-0040_403-128339-0027_4859-22176-0007_26-496-0015,32,F,831,M,403,F,4859,M,26,M
2952-408-0017_289-121665-0025_460-172359-0089_2836-5354-0029_248-130644-0020,2952,M,289,F,460,M,2836,F,248,F
2136-5140-0022_3982-182255-0000_3830-12530-0009_1447-130551-0024_8088-284756-0007,2136,M,3982,F,3830,M,1447,F,8088,M
4137-11702-0055_2817-142380-0019_1235-135884-0041_289-121652-0030_1578-140045-0026,4137,F,2817,F,1235,M,289,F,1578,F
2136-5140-0008_446-123501-0022_5808-54425-0026_201-122255-0024_125-121124-0029,2136,M,446,M,5808,M,201,M,125,F
7059-77900-0031_254-145458-0011_250-142276-0007_730-358-0049_125-121124-0058,7059,F,254,M,250,F,730,F,125,F
3607-135982-0034_696-93314-0057_27-124992-0059_7190-90543-0005_40-222-0010,3607,M,696,F,27,M,7190,M,40,F
5049-25947-0013_1594-135914-0088_8238-274553-0019_2691-156745-0044_8629-261139-0068,5049,M,1594,M,8238,F,2691,F,8629,M
26-496-0020_2514-149482-0000_4051-11217-0033_2518-154826-0031_89-218-0024,26,M,2514,M,4051,F,2518,M,89,F
8324-286682-0003_2002-139469-0067_6437-66172-0001_5192-19397-0024_1624-142933-0037,8324,F,2002,M,6437,M,5192,M,1624,M
696-93314-0065_8468-286673-0008_163-121908-0008_5867-48852-0045_5703-47198-0055,696,F,8468,F,163,M,5867,F,5703,M
2910-131096-0083_5703-47198-0008_32-21631-0004_2007-149877-0015_5808-48608-0022,2910,F,5703,M,32,F,2007,F,5808,M
2691-156750-0007_4160-14187-0028_4853-27671-0002_2843-152918-0096_6081-41998-0031,2691,F,4160,F,4853,F,2843,M,6081,M
5678-43303-0026_5688-41232-0041_1898-145715-0049_8629-261140-0032_6272-70171-0012,5678,M,5688,F,1898,F,8629,M,6272,F
7800-283478-0024_1183-133256-0007_8108-280359-0019_7059-77897-0014_3235-11599-0007,7800,F,1183,F,8108,M,7059,F,3235,F
2893-139310-0033_2514-149482-0007_19-227-0014_6064-300880-0030_3168-173565-0029,2893,M,2514,M,19,F,6064,F,3168,M
1447-130552-0003_26-495-0059_2416-152139-0018_60-121082-0078_4640-19187-0008,1447,F,26,M,2416,F,60,M,4640,F
5163-18515-0042_3879-174923-0019_730-358-0006_2989-138035-0008_458-126290-0005,5163,F,3879,F,730,F,2989,F,458,M
163-122947-0032_1723-141149-0053_4898-28461-0037_1578-140049-0022_2416-152139-0031,163,M,1723,M,4898,M,1578,F,2416,F
39-121914-0047_1088-134318-0018_1624-168623-0038_1235-135887-0006_3983-5371-0033,39,F,1088,F,1624,M,1235,M,3983,F
2910-131096-0031_8975-270782-0060_4830-25904-0047_3240-131231-0005_3857-182315-0044,2910,F,8975,F,4830,M,3240,M,3857,M
3807-4923-0058_7113-86041-0007_8419-286667-0014_4680-16041-0013_2289-152254-0021,3807,M,7113,F,8419,M,4680,F,2289,M
3664-11714-0031_3879-173592-0040_4160-11549-0013_2518-154826-0045_839-130898-0092,3664,M,3879,F,4160,F,2518,M,839,M
8108-274318-0023_7078-271888-0109_5393-19218-0041_7635-105409-0001_8747-293952-0107,8108,M,7078,F,5393,F,7635,F,8747,M
5049-25947-0027_8975-270782-0039_322-124147-0073_1502-122619-0057_446-123501-0055,5049,M,8975,F,322,F,1502,F,446,M
5703-47198-0036_26-495-0087_2691-156750-0016_39-121914-0000_7367-86737-0029,5703,M,26,M,2691,F,39,F,7367,M
1116-132847-0033_5561-39621-0026_696-93314-0063_5808-48608-0049_3830-12531-0019,1116,F,5561,F,696,F,5808,M,3830,M
7780-274562-0095_2911-15045-0008_2384-152900-0008_4362-15663-0064_1081-125237-0055,7780,F,2911,M,2384,M,4362,F,1081,M
8770-295463-0007_1841-179183-0026_4406-16882-0028_4018-107338-0019_5688-41232-0056,8770,M,1841,F,4406,M,4018,M,5688,F
5104-33406-0013_4397-15666-0010_2289-152257-0017_1578-6379-0015_2518-154826-0051,5104,M,4397,M,2289,M,1578,F,2518,M
5514-19192-0046_307-127535-0005_211-122425-0052_730-359-0011_5703-47198-0040,5514,F,307,M,211,F,730,F,5703,M
3983-5331-0028_5049-25947-0112_8226-274371-0004_1992-141719-0023_7402-59171-0047,3983,F,5049,M,8226,M,1992,F,7402,M
1553-140047-0018_328-129766-0024_2911-7601-0020_196-122152-0012_2092-145706-0056,1553,F,328,F,2911,M,196,M,2092,F
831-130739-0023_1246-124548-0000_8238-274553-0039_3242-67153-0018_3436-172162-0017,831,M,1246,F,8238,F,3242,M,3436,M
2092-145709-0012_3242-8112-0043_8088-284756-0013_2893-139322-0033_4362-15663-0090,2092,F,3242,M,8088,M,2893,M,4362,F
1553-140047-0036_1926-147979-0002_2893-139310-0034_730-359-0020_4397-15668-0000,1553,F,1926,F,2893,M,730,F,4397,M
7859-102518-0005_669-129074-0013_6437-66172-0015_328-129766-0070_5192-19396-0014,7859,F,669,F,6437,M,328,F,5192,M
200-126784-0037_78-369-0022_1246-135815-0012_8419-293469-0004_8088-284756-0067,200,F,78,M,1246,F,8419,M,8088,M
2817-142371-0011_83-3054-0014_6454-107462-0003_1363-139304-0044_909-131045-0003,2817,F,83,F,6454,M,1363,F,909,M
5678-43302-0040_89-218-0004_4680-16041-0018_669-129061-0020_8609-283227-0058,5678,M,89,F,4680,F,669,F,8609,M
83-11691-0033_8098-278252-0026_6836-61803-0010_8425-292520-0028_5393-19219-0060,83,F,8098,M,6836,M,8425,M,5393,F
8098-278278-0023_3235-28452-0028_5390-30096-0008_1502-122619-0076_2159-179154-0034,8098,M,3235,F,5390,M,1502,F,2159,M
5104-33407-0039_7402-59171-0025_7059-77897-0002_6818-76332-0036_1898-145715-0006,5104,M,7402,M,7059,F,6818,F,1898,F
8838-298546-0031_8063-274115-0016_696-93314-0035_5022-29411-0060_6848-252322-0018,8838,M,8063,M,696,F,5022,F,6848,M
125-121124-0023_5688-41232-0022_2196-170151-0026_7078-271888-0007_6818-68772-0035,125,F,5688,F,2196,F,7078,F,6818,F
6848-252322-0017_696-92939-0023_8063-274116-0020_8108-280359-0025_6529-62554-0003,6848,M,696,F,8063,M,8108,M,6529,M
7800-283493-0023_6147-34607-0006_4340-15220-0021_4853-27671-0040_2911-15045-0025,7800,F,6147,F,4340,F,4853,F,2911,M
3526-175658-0033_4051-11218-0016_1116-137572-0053_60-121082-0083_3259-158083-0049,3526,F,4051,F,1116,F,60,M,3259,F
887-123291-0014_8324-286681-0017_8226-274369-0023_7264-92310-0023_5390-30096-0003,887,F,8324,F,8226,M,7264,M,5390,M
40-222-0026_2002-139469-0051_27-124992-0061_5688-15787-0004_8609-262281-0022,40,F,2002,M,27,M,5688,F,8609,M
4397-15668-0004_4813-248641-0043_8975-270782-0048_1898-145715-0035_8238-283452-0007,4397,M,4813,M,8975,F,1898,F,8238,F
4051-11218-0038_7113-86041-0070_8063-274112-0032_233-134440-0032_7794-295948-0014,4051,F,7113,F,8063,M,233,M,7794,F
8465-246947-0027_7264-92316-0038_2843-152918-0048_8425-287387-0016_103-1240-0010,8465,F,7264,M,2843,M,8425,M,103,F
3830-12535-0004_5703-47212-0004_1334-135589-0016_1116-132851-0012_233-134440-0003,3830,M,5703,M,1334,M,1116,F,233,M
2196-174172-0028_7635-105661-0015_7067-76048-0038_5456-58161-0023_8425-246962-0030,2196,F,7635,F,7067,M,5456,M,8425,M
8797-294123-0023_2436-2477-0013_730-358-0045_1447-130551-0005_5049-25947-0063,8797,M,2436,M,730,F,1447,F,5049,M
5867-48852-0020_6181-216552-0059_8324-286682-0019_6925-80680-0085_248-130652-0034,5867,F,6181,M,8324,F,6925,M,248,F
3240-131231-0013_2893-139310-0044_3983-5371-0030_4830-25904-0021_4267-72637-0023,3240,M,2893,M,3983,F,4830,M,4267,M
4680-16026-0008_5049-25947-0059_587-41611-0024_1624-142933-0012_8238-274553-0041,4680,F,5049,M,587,F,1624,M,8238,F
5393-19218-0007_669-129074-0005_4340-15220-0085_198-209-0028_4297-13009-0016,5393,F,669,F,4340,F,198,F,4297,F
5339-14133-0008_83-9960-0008_2384-152900-0041_1594-135914-0020_7800-283493-0036,5339,F,83,F,2384,M,1594,M,7800,F
233-155990-0014_2691-156750-0008_1081-125237-0022_5104-33406-0043_254-27760-0020,233,M,2691,F,1081,M,5104,M,254,M
6147-34605-0017_201-122255-0042_5393-19219-0005_1098-133695-0002_3374-298026-0032,6147,F,201,M,5393,F,1098,F,3374,M
2159-179154-0002_7800-283478-0019_3879-174923-0001_2289-152253-0016_5652-19215-0046,2159,M,7800,F,3879,F,2289,M,5652,F
4813-248641-0049_2196-170379-0017_3983-5331-0006_4297-13009-0036_6272-70191-0021,4813,M,2196,F,3983,F,4297,F,6272,F
2518-154825-0035_78-368-0005_1578-140049-0021_3807-4955-0002_2391-145015-0058,2518,M,78,M,1578,F,3807,M,2391,F
403-128339-0006_8226-274371-0047_7794-295947-0031_6019-3185-0085_1088-134318-0007,403,F,8226,M,7794,F,6019,M,1088,F
201-127786-0030_6531-61334-0043_4406-16883-0019_2002-139469-0010_6563-63821-0042,201,M,6531,F,4406,M,2002,M,6563,M
3699-175950-0023_2989-138028-0069_6367-65536-0059_3723-171631-0019_669-129074-0021,3699,M,2989,F,6367,M,3723,M,669,F
8838-298546-0017_307-127535-0039_8095-274345-0030_441-130108-0000_7078-271888-0010,8838,M,307,M,8095,M,441,F,7078,F
4859-29340-0008_4014-186176-0013_5463-39174-0020_374-180299-0011_2836-5354-0032,4859,M,4014,M,5463,M,374,M,2836,F
6880-216547-0017_587-54108-0041_5390-30102-0022_7067-76047-0018_5322-7680-0001,6880,M,587,F,5390,M,7067,M,5322,M
2817-142371-0037_7190-90543-0020_89-219-0020_2002-139469-0011_3235-28433-0015,2817,F,7190,M,89,F,2002,M,3235,F
6531-61334-0089_8465-246940-0019_6147-34605-0002_6081-42010-0022_3857-182317-0006,6531,F,8465,F,6147,F,6081,M,3857,M
6836-61804-0016_3374-298026-0005_200-126784-0018_5750-100289-0029_5778-12761-0028,6836,M,3374,M,200,F,5750,M,5778,F
8630-305213-0045_1034-121119-0024_8051-295385-0020_8312-279791-0009_8465-246947-0006,8630,M,1034,M,8051,F,8312,F,8465,F
1263-139804-0028_4788-294466-0002_8098-278278-0001_6147-34607-0012_3526-176653-0029,1263,F,4788,M,8098,M,6147,F,3526,F
8088-284756-0083_3214-167607-0003_4640-19188-0007_328-129766-0032_7794-295948-0003,8088,M,3214,M,4640,F,328,F,7794,F
7278-246956-0035_6818-68772-0001_7178-34645-0008_7067-76047-0041_83-9960-0031,7278,M,6818,F,7178,F,7067,M,83,F
298-126791-0034_4481-17499-0023_1578-6379-0036_4014-186175-0032_7511-102419-0010,298,F,4481,F,1578,F,4014,M,7511,F
87-121553-0083_6836-76549-0001_4160-11550-0026_405-130894-0069_5808-54425-0024,87,F,6836,M,4160,F,405,M,5808,M
4481-17498-0029_298-126791-0054_6367-65536-0068_3168-173565-0030_3664-178366-0036,4481,F,298,F,6367,M,3168,M,3664,M
8468-295198-0032_7226-86964-0055_6836-76549-0010_403-126855-0013_481-123720-0005,8468,F,7226,M,6836,M,403,F,481,M
78-368-0030_6209-34599-0027_211-122442-0013_5652-39938-0042_3879-174923-0021,78,M,6209,M,211,F,5652,F,3879,F
8098-278252-0023_445-123860-0007_3240-131231-0048_7517-100429-0031_426-122822-0023,8098,M,445,M,3240,M,7517,F,426,F
2910-131096-0090_4441-76263-0023_7447-91186-0016_3440-171009-0021_887-123289-0020,2910,F,4441,M,7447,M,3440,F,887,F
1263-139804-0002_6529-62556-0018_4853-27670-0004_4680-16026-0006_3486-166446-0004,1263,F,6529,M,4853,F,4680,F,3486,M
7148-7763-0009_3440-171009-0054_3436-172171-0059_6272-70171-0017_233-134440-0007,7148,F,3440,F,3436,M,6272,F,233,M
6454-120342-0000_8051-118101-0003_1867-154071-0011_1723-141149-0098_1246-135815-0019,6454,M,8051,F,1867,M,1723,M,1246,F
1088-134315-0002_4267-72637-0004_5463-39174-0000_7078-271888-0035_2691-156755-0020,1088,F,4267,M,5463,M,7078,F,2691,F
4088-158079-0002_2159-179156-0029_4362-15663-0041_4481-17499-0005_3607-135982-0000,4088,F,2159,M,4362,F,4481,F,3607,M
7078-271888-0101_4214-7146-0046_7511-102420-0017_3242-67168-0027_229-130880-0009,7078,F,4214,F,7511,F,3242,M,229,M
7859-102519-0006_7635-105661-0043_5678-43302-0009_6454-107462-0016_3486-166446-0040,7859,F,7635,F,5678,M,6454,M,3486,M
8226-274371-0010_1723-141149-0078_1455-134435-0025_405-130894-0021_198-126831-0034,8226,M,1723,M,1455,M,405,M,198,F
6531-61334-0130_39-121916-0002_3436-172162-0009_6019-3185-0018_7178-34644-0006,6531,F,39,F,3436,M,6019,M,7178,F
403-216-0022_311-124404-0033_2836-5354-0022_2196-170379-0012_8095-274346-0050,403,F,311,M,2836,F,2196,F,8095,M
1263-139804-0000_8465-246943-0009_669-129061-0047_298-126791-0041_5867-48852-0094,1263,F,8465,F,669,F,298,F,5867,F
5750-35690-0032_2764-36619-0025_2843-152918-0080_8797-294123-0067_3235-28433-0049,5750,M,2764,F,2843,M,8797,M,3235,F
8063-274117-0026_4788-94904-0023_4441-76263-0016_6880-216547-0071_1867-154075-0030,8063,M,4788,M,4441,M,6880,M,1867,M
3857-182315-0008_1502-122619-0029_1594-135914-0036_6272-70168-0034_6064-56165-0029,3857,M,1502,F,1594,M,6272,F,6064,F
909-131044-0015_1594-135914-0063_7226-86964-0008_4088-158077-0059_3242-67153-0004,909,M,1594,M,7226,M,4088,F,3242,M
5456-62014-0013_4195-186238-0006_5678-43302-0013_6531-61334-0116_1841-159771-0010,5456,M,4195,F,5678,M,6531,F,1841,F
4680-16042-0037_831-130739-0005_8063-274115-0002_328-129766-0003_1447-130551-0016,4680,F,831,M,8063,M,328,F,1447,F
6415-111615-0010_196-122159-0019_2764-36616-0017_5808-54425-0017_4051-11217-0009,6415,F,196,M,2764,F,5808,M,4051,F
8108-280354-0008_1098-133695-0038_6848-76049-0004_5652-19215-0031_6000-86686-0002,8108,M,1098,F,6848,M,5652,F,6000,F
4088-158077-0038_4014-186179-0027_3857-182315-0009_909-131044-0033_4362-15663-0099,4088,F,4014,M,3857,M,909,M,4362,F
302-123504-0004_6476-57446-0024_6415-100596-0017_7447-91187-0062_2436-2481-0024,302,F,6476,F,6415,F,7447,M,2436,M
1963-147036-0018_2416-152139-0062_6064-300880-0033_5688-41232-0008_587-41619-0009,1963,F,2416,F,6064,F,5688,F,587,F
8629-261140-0025_1898-145720-0010_1246-124550-0003_7264-92310-0004_3486-166446-0018,8629,M,1898,F,1246,F,7264,M,3486,M
3947-13260-0017_3374-298032-0008_2518-154825-0044_201-127786-0053_3526-175658-0011,3947,F,3374,M,2518,M,201,M,3526,F
3374-298025-0001_8747-293952-0062_4137-11702-0033_1963-142393-0004_1624-168623-0049,3374,M,8747,M,4137,F,1963,F,1624,M
6000-55211-0030_7190-90542-0038_7148-7763-0000_6476-96661-0012_78-368-0039,6000,F,7190,M,7148,F,6476,F,78,M
5652-39938-0021_7859-102519-0002_2989-138035-0075_730-360-0017_6367-65536-0045,5652,F,7859,F,2989,F,730,F,6367,M
3259-158083-0030_311-124404-0025_6437-66173-0037_6000-55211-0008_254-127705-0012,3259,F,311,M,6437,M,6000,F,254,M
1502-122619-0040_5049-25947-0043_8051-119902-0029_26-496-0018_5322-7680-0027,1502,F,5049,M,8051,F,26,M,5322,M
5192-19397-0038_4160-11549-0030_4640-19189-0022_5104-33407-0036_233-134440-0047,5192,M,4160,F,4640,F,5104,M,233,M
4680-16041-0004_4813-248641-0035_1116-137572-0031_1069-133699-0006_6531-61334-0031,4680,F,4813,M,1116,F,1069,F,6531,F
2092-145706-0009_7148-59157-0024_196-122150-0026_6147-34605-0023_19-227-0061,2092,F,7148,F,196,M,6147,F,19,F
1926-147979-0027_163-122947-0047_2952-410-0028_4830-25904-0035_4340-15220-0078,1926,F,163,M,2952,M,4830,M,4340,F
1447-17506-0020_6476-57446-0074_7148-59157-0004_1578-6379-0045_460-172359-0011,1447,F,6476,F,7148,F,1578,F,460,M
374-180299-0016_6529-62556-0026_2159-179157-0004_7226-86965-0032_5808-48608-0043,374,M,6529,M,2159,M,7226,M,5808,M
911-128684-0076_446-123502-0014_7511-102419-0029_78-368-0053_6385-34669-0025,911,M,446,M,7511,F,78,M,6385,F
1098-133695-0070_4340-15220-0005_4362-15663-0080_8238-283452-0024_1235-135883-0018,1098,F,4340,F,4362,F,8238,F,1235,M
5678-43301-0018_1578-140049-0008_7059-88364-0004_911-128684-0052_8098-278278-0033,5678,M,1578,F,7059,F,911,M,8098,M
2764-36616-0010_7148-59157-0006_1898-145720-0000_1578-140049-0017_7517-100442-0023,2764,F,7148,F,1898,F,1578,F,7517,F
1970-10594-0013_19-227-0029_8238-274553-0004_6272-70191-0027_2007-149877-0061,1970,F,19,F,8238,F,6272,F,2007,F
6563-63821-0001_3830-12535-0011_6880-216547-0009_289-121652-0033_6529-62554-0055,6563,M,3830,M,6880,M,289,F,6529,M
2989-138035-0017_4788-294466-0005_426-122822-0026_7302-86814-0027_6000-86686-0000,2989,F,4788,M,426,F,7302,F,6000,F
2843-152918-0033_3259-158083-0076_7302-86815-0076_696-92939-0031_1034-121119-0063,2843,M,3259,F,7302,F,696,F,1034,M
2436-2481-0012_1992-141719-0027_5456-62014-0014_460-172357-0007_4406-16883-0018,2436,M,1992,F,5456,M,460,M,4406,M
5688-41232-0074_196-122152-0013_6147-34607-0025_200-124140-0016_8468-295198-0023,5688,F,196,M,6147,F,200,F,8468,F
6000-86686-0023_8630-305212-0008_1246-124548-0033_2384-152900-0080_2436-2481-0020,6000,F,8630,M,1246,F,2384,M,2436,M
3699-19401-0006_669-129074-0000_5339-14134-0052_4680-16026-0010_7113-86041-0008,3699,M,669,F,5339,F,4680,F,7113,F
3664-11714-0022_196-122150-0034_4267-78186-0016_4680-16041-0015_4014-186176-0024,3664,M,196,M,4267,M,4680,F,4014,M
4859-26870-0002_8108-280359-0001_4813-248641-0002_103-1241-0031_5163-39921-0050,4859,M,8108,M,4813,M,103,F,5163,F
7148-82991-0022_6437-66173-0015_3214-167602-0029_4137-11702-0003_5778-54535-0010,7148,F,6437,M,3214,M,4137,F,5778,F
1578-6379-0000_1455-134435-0053_2764-36617-0014_332-128985-0050_445-123860-0002,1578,F,1455,M,2764,F,332,M,445,M
4481-17498-0008_6000-55211-0020_3242-8112-0001_4830-25898-0018_3259-158083-0084,4481,F,6000,F,3242,M,4830,M,3259,F
2007-132570-0006_8419-286676-0023_3240-131231-0032_3982-178459-0048_4406-16883-0005,2007,F,8419,M,3240,M,3982,F,4406,M
6078-54013-0034_6454-107462-0024_1081-125237-0088_2416-152137-0013_445-123860-0016,6078,F,6454,M,1081,M,2416,F,445,M
481-123720-0013_289-121665-0015_6476-96661-0016_7190-90543-0023_8747-293952-0087,481,M,289,F,6476,F,7190,M,8747,M
7264-92316-0000_5514-19193-0003_39-121915-0020_1970-28415-0000_40-121026-0004,7264,M,5514,F,39,F,1970,F,40,F
6272-70168-0000_1578-140045-0023_3526-176653-0044_5022-29405-0023_2436-2477-0033,6272,F,1578,F,3526,F,5022,F,2436,M
1363-139304-0025_2952-410-0039_3374-298032-0021_198-209-0014_8838-298545-0002,1363,F,2952,M,3374,M,198,F,8838,M
1246-124548-0041_3235-28433-0009_7505-258964-0015_8580-287364-0032_2007-149877-0033,1246,F,3235,F,7505,M,8580,M,2007,F
2893-139322-0049_4195-17507-0048_3526-176653-0030_7178-34645-0015_7113-86041-0061,2893,M,4195,F,3526,F,7178,F,7113,F
103-1240-0018_201-127786-0034_1926-147987-0026_1040-133433-0058_6818-68772-0038,103,F,201,M,1926,F,1040,M,6818,F
7278-104730-0037_5104-33406-0017_5456-24741-0019_322-124147-0044_7780-274562-0101,7278,M,5104,M,5456,M,322,F,7780,F
403-126855-0031_2952-410-0003_405-130895-0025_6064-56168-0009_7505-83618-0023,403,F,2952,M,405,M,6064,F,7505,M
39-121914-0035_8108-280354-0012_6529-62556-0006_322-124147-0005_4441-76250-0013,39,F,8108,M,6529,M,322,F,4441,M
7511-102419-0014_1116-137572-0028_6880-216547-0043_163-122947-0093_911-128684-0058,7511,F,1116,F,6880,M,163,M,911,M
2159-179156-0024_6081-41998-0023_3723-171115-0041_6000-86686-0010_8123-275216-0021,2159,M,6081,M,3723,M,6000,F,8123,F
163-122947-0070_3240-131231-0044_2518-154825-0038_4830-25898-0033_6272-70171-0015,163,M,3240,M,2518,M,4830,M,6272,F
3983-5371-0056_8425-287387-0022_1081-125237-0014_39-121914-0024_6848-252323-0001,3983,F,8425,M,1081,M,39,F,6848,M
3807-4923-0038_254-12312-0017_5390-24512-0041_6529-62556-0000_4362-15663-0103,3807,M,254,M,5390,M,6529,M,4362,F
4640-19187-0016_6529-62556-0036_4195-17507-0013_302-123504-0010_7278-104730-0042,4640,F,6529,M,4195,F,302,F,7278,M
1737-142396-0019_1246-124550-0009_3526-176651-0013_4014-186183-0000_198-129977-0012,1737,F,1246,F,3526,F,4014,M,198,F
2911-7601-0001_481-123720-0009_3242-67153-0021_839-130898-0037_8468-294887-0022,2911,M,481,M,3242,M,839,M,8468,F
5022-29411-0069_4297-13006-0019_6064-56168-0028_5867-48852-0028_5163-39921-0032,5022,F,4297,F,6064,F,5867,F,5163,F
1098-133695-0027_5750-100289-0063_3486-166446-0010_1502-122615-0023_1898-145720-0018,1098,F,5750,M,3486,M,1502,F,1898,F
8063-274117-0000_8108-280359-0012_1088-129236-0014_89-219-0005_289-121652-0032,8063,M,8108,M,1088,F,89,F,289,F
163-122947-0000_8419-293473-0011_2136-5143-0007_4640-19187-0027_1970-10594-0002,163,M,8419,M,2136,M,4640,F,1970,F
4441-76263-0015_7059-88364-0032_1088-134315-0052_5514-19192-0014_1594-135914-0074,4441,M,7059,F,1088,F,5514,F,1594,M
150-126107-0035_8419-293469-0002_6848-252323-0002_1235-135883-0023_2182-181173-0024,150,F,8419,M,6848,M,1235,M,2182,F
4397-15666-0006_1970-10594-0012_6272-70191-0014_19-227-0023_2817-142371-0030,4397,M,1970,F,6272,F,19,F,2817,F
6880-216547-0019_1355-39947-0023_3807-4923-0034_7190-90542-0019_4788-94904-0018,6880,M,1355,M,3807,M,7190,M,4788,M
911-128684-0050_2436-2477-0012_7067-76048-0013_460-172357-0021_26-496-0022,911,M,2436,M,7067,M,460,M,26,M
4397-15668-0012_3112-9554-0018_2893-139310-0051_4441-76263-0002_5750-100289-0043,4397,M,3112,F,2893,M,4441,M,5750,M
